SpecID,_SpecID
CNC_Diptera47634,CNC_Diptera47634
CNC_Diptera47640,CNC_Diptera47640
CNC_Diptera47643,CNC_Diptera47643
CNC_Diptera47644,CNC_Diptera47644
CNC_Diptera47649,CNC_Diptera47649
CNC_Diptera47650,CNC_Diptera47650
CNC_Diptera47651,CNC_Diptera47651
CNC_Diptera47654,CNC_Diptera47654
CNC_Diptera47664,CNC_Diptera47664
CNC_Diptera47694,CNC_Diptera47694
CNC_Diptera47695,CNC_Diptera47695
CNC_Diptera47708,CNC_Diptera47708
CNC_Diptera47721,CNC_Diptera47721
CNC_Diptera47723,CNC_Diptera47723
CNC_Diptera47899,CNC_Diptera47899
CNC_Diptera47904,CNC_Diptera47904
CNC_Diptera47907,CNC_Diptera47907
CNC_Diptera47925,CNC_Diptera47925
CNC_Diptera47941,CNC_Diptera47941
CNC_Diptera47973,CNC_Diptera47973
CNC_Diptera47983,CNC_Diptera47983
CNC_Diptera47987,CNC_Diptera47987
CNC_Diptera47989,CNC_Diptera47989
CNC_Diptera47992,CNC_Diptera47992
CNC_Diptera48046,CNC_Diptera48046
CNC_Diptera48100,CNC_Diptera48100
CNC_Diptera48122,CNC_Diptera48122
CNC_Diptera48204,CNC_Diptera48204
CNC_Diptera48205,CNC_Diptera48205
CNC_Diptera48240,CNC_Diptera48240
CNC_Diptera48270,CNC_Diptera48270
CNC_Diptera48360,CNC_Diptera48360
CNC_Diptera48361,CNC_Diptera48361
CNC_Diptera48415,CNC_Diptera48415
CNC_Diptera48416,CNC_Diptera48416
CNC_Diptera48447,CNC_Diptera48447
CNC_Diptera48448,CNC_Diptera48448
CNC_Diptera48449,CNC_Diptera48449
CNC_Diptera48502,CNC_Diptera48502
CNC_Diptera48661,CNC_Diptera48661
CNC_Diptera48666,CNC_Diptera48666
CNC_Diptera48685,CNC_Diptera48685
CNC_Diptera48686,CNC_Diptera48686
CNC_Diptera48687,CNC_Diptera48687
CNC_Diptera48709,CNC_Diptera48709
CNC_Diptera48710,CNC_Diptera48710
CNC_Diptera48711,CNC_Diptera48711
CNC_Diptera48712,CNC_Diptera48712
CNC_Diptera48824,CNC_Diptera48824
CNC_Diptera48857,CNC_Diptera48857
CNC_Diptera48913,CNC_Diptera48913
CNC_Diptera49011,CNC_Diptera49011
CNC_Diptera49136,CNC_Diptera49136
CNC_Diptera49247,CNC_Diptera49247
CNC_Diptera49268,CNC_Diptera49268
CNC_Diptera49269,CNC_Diptera49269
CNC_Diptera49270,CNC_Diptera49270
CNC_Diptera49426,CNC_Diptera49426
CNC_Diptera4952,CNC_Diptera4952
CNC_Diptera49587,CNC_Diptera49587
CNC_Diptera49700,CNC_Diptera49700
CNC_Diptera49712,CNC_Diptera49712
CNC_Diptera49725,CNC_Diptera49725
CNC_Diptera49731,CNC_Diptera49731
CNC_Diptera49743,CNC_Diptera49743
CNC_Diptera49748,CNC_Diptera49748
CNC_Diptera49749,CNC_Diptera49749
CNC_Diptera49755,CNC_Diptera49755
CNC_Diptera49759,CNC_Diptera49759
CNC_Diptera49783,CNC_Diptera49783
CNC_Diptera49784,CNC_Diptera49784
CNC_Diptera4979,CNC_Diptera4979
CNC_Diptera49817,CNC_Diptera49817
CNC_Diptera49822,CNC_Diptera49822
CNC_Diptera49849,CNC_Diptera49849
CNC_Diptera49873,CNC_Diptera49873
CNC_Diptera50098,CNC_Diptera50098
CNC_Diptera50132,CNC_Diptera50132
CNC_Diptera50272,CNC_Diptera50272
CNC_Diptera503,CNC_Diptera503
CNC_Diptera50863,CNC_Diptera50863
CNC_Diptera50864,CNC_Diptera50864
CNC_Diptera50930,CNC_Diptera50930
CNC_Diptera50934,CNC_Diptera50934
CNC_Diptera50935,CNC_Diptera50935
CNC_Diptera50937,CNC_Diptera50937
CNC_Diptera51827,CNC_Diptera51827
CNC_Diptera51828,CNC_Diptera51828
CNC_Diptera51829,CNC_Diptera51829
CNC_Diptera51842,CNC_Diptera51842
CNC_Diptera51843,CNC_Diptera51843
CNC_Diptera51893,CNC_Diptera51893
CNC_Diptera51894,CNC_Diptera51894
CNC_Diptera51922,CNC_Diptera51922
CNC_Diptera51930,CNC_Diptera51930
CNC_Diptera51931,CNC_Diptera51931
CNC_Diptera52023,CNC_Diptera52023
CNC_Diptera52150,CNC_Diptera52150
CNC_Diptera52151,CNC_Diptera52151
CNC_Diptera52153,CNC_Diptera52153
CNC_Diptera52154,CNC_Diptera52154
CNC_Diptera52155,CNC_Diptera52155
CNC_Diptera52161,CNC_Diptera52161
CNC_Diptera52365,CNC_Diptera52365
CNC_Diptera52367,CNC_Diptera52367
CNC_Diptera52539,CNC_Diptera52539
CNC_Diptera52540,CNC_Diptera52540
CNC_Diptera52541,CNC_Diptera52541
CNC_Diptera52543,CNC_Diptera52543
CNC_Diptera52544,CNC_Diptera52544
CNC_Diptera52675,CNC_Diptera52675
CNC_Diptera52676,CNC_Diptera52676
CNC_Diptera52677,CNC_Diptera52677
CNC_Diptera52772,CNC_Diptera52772
CNC_Diptera52785,CNC_Diptera52785
CNC_Diptera52788,CNC_Diptera52788
CNC_Diptera52795,CNC_Diptera52795
CNC_Diptera52808,CNC_Diptera52808
CNC_Diptera52809,CNC_Diptera52809
CNC_Diptera52811,CNC_Diptera52811
CNC_Diptera52813,CNC_Diptera52813
CNC_Diptera52814,CNC_Diptera52814
CNC_Diptera52818,CNC_Diptera52818
CNC_Diptera52826,CNC_Diptera52826
CNC_Diptera52833,CNC_Diptera52833
CNC_Diptera52890,CNC_Diptera52890
CNC_Diptera52958,CNC_Diptera52958
CNC_Diptera52959,CNC_Diptera52959
CNC_Diptera52960,CNC_Diptera52960
CNC_Diptera52978,CNC_Diptera52978
